time,num_instructions,location,block,condition,success
3.8648143000000346,2,4,1,auditory,success
3.13214210000001,2,4,1,auditory,success
4.829867599999943,3,1,1,auditory,exFail
5.1134340999999495,3,7,1,auditory,success
4.660225499999797,3,3,1,auditory,success
1.7802285000002485,1,5,1,auditory,success
2.9288581999999224,2,8,1,auditory,success
4.502432300000237,3,1,1,auditory,success
4.227109699999801,3,9,1,auditory,success
time,num_instructions,location,block,condition,success
3.8648143000000346,2,4,1,auditory,success
3.13214210000001,2,4,1,auditory,success
4.829867599999943,3,1,1,auditory,success
5.1134340999999495,3,7,1,auditory,success
4.660225499999797,3,3,1,auditory,success
1.7802285000002485,1,5,1,auditory,success
2.9288581999999224,2,8,1,auditory,success
4.502432300000237,3,1,1,auditory,success
4.227109699999801,3,9,1,auditory,success
3.258597500000178,2,4,2,auditory,success
2.614111299999877,2,2,2,auditory,success
2.454493899999761,2,4,2,auditory,success
3.181040899999971,3,9,2,auditory,success
3.3458104999999705,3,3,2,auditory,success
1.3372733999999582,1,5,2,auditory,success
3.0048744999999144,3,9,2,auditory,success
2.3113711999999396,2,6,2,auditory,success
2.1723941999998715,2,8,2,auditory,success
time,num_instructions,location,block,condition,success
3.8648143000000346,2,4,1,auditory,success
3.13214210000001,2,4,1,auditory,success
4.829867599999943,3,1,1,auditory,success
5.1134340999999495,3,7,1,auditory,success
4.660225499999797,3,3,1,auditory,success
1.7802285000002485,1,5,1,auditory,success
2.9288581999999224,2,8,1,auditory,success
4.502432300000237,3,1,1,auditory,success
4.227109699999801,3,9,1,auditory,success
3.258597500000178,2,4,2,auditory,success
2.614111299999877,2,2,2,auditory,success
2.454493899999761,2,4,2,auditory,success
3.181040899999971,3,9,2,auditory,success
3.3458104999999705,3,3,2,auditory,success
1.3372733999999582,1,5,2,auditory,success
3.0048744999999144,3,9,2,auditory,success
2.3113711999999396,2,6,2,auditory,success
2.1723941999998715,2,8,2,auditory,success
3.110802700000022,3,7,3,auditory,success
2.0104042000002664,2,8,3,auditory,success
3.0181776999997965,3,3,3,auditory,success
2.7246430000000146,3,3,3,auditory,success
2.0274225000002843,2,6,3,auditory,success
3.2604780000001483,3,1,3,auditory,success
2.7282632999999805,3,7,3,auditory,success
1.9491437000001497,2,2,3,auditory,success
2.939648699999907,3,3,3,auditory,success
time,num_instructions,location,block,condition,success
3.8648143000000346,2,4,1,auditory,success
3.13214210000001,2,4,1,auditory,success
4.829867599999943,3,1,1,auditory,success
5.1134340999999495,3,7,1,auditory,success
4.660225499999797,3,3,1,auditory,success
1.7802285000002485,1,5,1,auditory,success
2.9288581999999224,2,8,1,auditory,success
4.502432300000237,3,1,1,auditory,success
4.227109699999801,3,9,1,auditory,success
3.258597500000178,2,4,2,auditory,success
2.614111299999877,2,2,2,auditory,success
2.454493899999761,2,4,2,auditory,success
3.181040899999971,3,9,2,auditory,success
3.3458104999999705,3,3,2,auditory,success
1.3372733999999582,1,5,2,auditory,success
3.0048744999999144,3,9,2,auditory,success
2.3113711999999396,2,6,2,auditory,success
2.1723941999998715,2,8,2,auditory,success
