time,num_instructions,location,block,condition,success
3.3884485999997196,3,3,1,auditory,success
1.0767762999994375,1,5,1,auditory,exFail
2.955764299999828,3,3,1,auditory,success
3.31968710000001,3,3,1,auditory,success
2.6315098999994007,2,6,1,auditory,success
1.8026700000000346,2,4,1,auditory,success
3.4173220000002402,3,9,1,auditory,success
3.2063350999997056,3,3,1,auditory,success
3.3381541999997353,3,9,1,auditory,success
1.2351072000001295,1,rep_5,1,auditory,success
time,num_instructions,location,block,condition,success
3.3884485999997196,3,3,1,auditory,success
1.0767762999994375,1,5,1,auditory,exFail
2.955764299999828,3,3,1,auditory,success
3.31968710000001,3,3,1,auditory,success
2.6315098999994007,2,6,1,auditory,success
1.8026700000000346,2,4,1,auditory,success
3.4173220000002402,3,9,1,auditory,success
3.2063350999997056,3,3,1,auditory,success
3.3381541999997353,3,9,1,auditory,success
1.2351072000001295,1,rep_5,1,auditory,success
2.0807841000005283,2,8,2,auditory,success
2.9574886999998853,3,1,2,auditory,success
1.897444400000495,2,2,2,auditory,success
1.2675294000000576,1,5,2,auditory,success
1.1946693999998388,1,5,2,auditory,success
1.8782440999993923,2,2,2,auditory,success
2.765349000000242,3,7,2,auditory,success
1.94803150000007,2,8,2,auditory,success
2.8019570999995267,3,3,2,auditory,success
time,num_instructions,location,block,condition,success
3.3884485999997196,3,3,1,auditory,success
1.0767762999994375,1,5,1,auditory,exFail
2.955764299999828,3,3,1,auditory,success
3.31968710000001,3,3,1,auditory,success
2.6315098999994007,2,6,1,auditory,success
1.8026700000000346,2,4,1,auditory,success
3.4173220000002402,3,9,1,auditory,success
3.2063350999997056,3,3,1,auditory,success
3.3381541999997353,3,9,1,auditory,success
1.2351072000001295,1,rep_5,1,auditory,success
2.0807841000005283,2,8,2,auditory,success
2.9574886999998853,3,1,2,auditory,success
1.897444400000495,2,2,2,auditory,success
1.2675294000000576,1,5,2,auditory,success
1.1946693999998388,1,5,2,auditory,success
1.8782440999993923,2,2,2,auditory,success
2.765349000000242,3,7,2,auditory,success
1.94803150000007,2,8,2,auditory,success
2.8019570999995267,3,3,2,auditory,success
1.294482500000413,1,5,3,auditory,success
1.938925399999789,2,2,3,auditory,success
1.7793633000001137,2,8,3,auditory,success
2.870477999999821,3,1,3,auditory,success
2.051633699999911,2,6,3,auditory,success
1.93288930000017,2,8,3,auditory,success
2.2090441000000283,2,6,3,auditory,success
2.061431800000719,2,4,3,auditory,success
2.0313912000001437,2,4,3,auditory,success
time,num_instructions,location,block,condition,success
3.3884485999997196,3,3,1,auditory,success
1.0767762999994375,1,5,1,auditory,exFail
2.955764299999828,3,3,1,auditory,success
3.31968710000001,3,3,1,auditory,success
2.6315098999994007,2,6,1,auditory,success
1.8026700000000346,2,4,1,auditory,success
3.4173220000002402,3,9,1,auditory,success
3.2063350999997056,3,3,1,auditory,success
3.3381541999997353,3,9,1,auditory,success
1.2351072000001295,1,rep_5,1,auditory,success
2.0807841000005283,2,8,2,auditory,success
2.9574886999998853,3,1,2,auditory,success
1.897444400000495,2,2,2,auditory,success
1.2675294000000576,1,5,2,auditory,success
1.1946693999998388,1,5,2,auditory,success
1.8782440999993923,2,2,2,auditory,success
2.765349000000242,3,7,2,auditory,success
1.94803150000007,2,8,2,auditory,success
2.8019570999995267,3,3,2,auditory,success
1.294482500000413,1,5,3,auditory,success
1.938925399999789,2,2,3,auditory,success
1.7793633000001137,2,8,3,auditory,success
2.870477999999821,3,1,3,auditory,success
2.051633699999911,2,6,3,auditory,success
1.93288930000017,2,8,3,auditory,success
2.2090441000000283,2,6,3,auditory,success
2.061431800000719,2,4,3,auditory,success
2.0313912000001437,2,4,3,auditory,success
2.914733800000249,3,7,4,auditory,success
1.2368342999998276,1,5,4,auditory,success
1.8453976000000694,2,8,4,auditory,success
2.8944551999993564,3,3,4,auditory,success
2.7985208000000057,3,1,4,auditory,success
2.8548847000001842,3,9,4,auditory,success
2.8865511000003607,3,9,4,auditory,success
2.547124200000326,3,1,4,auditory,success
1.8286385999999766,2,8,4,auditory,success
time,num_instructions,location,block,condition,success
3.3884485999997196,3,3,1,auditory,success
1.0767762999994375,1,5,1,auditory,exFail
2.955764299999828,3,3,1,auditory,success
3.31968710000001,3,3,1,auditory,success
2.6315098999994007,2,6,1,auditory,success
1.8026700000000346,2,4,1,auditory,success
3.4173220000002402,3,9,1,auditory,success
3.2063350999997056,3,3,1,auditory,success
3.3381541999997353,3,9,1,auditory,success
1.2351072000001295,1,rep_5,1,auditory,success
2.0807841000005283,2,8,2,auditory,success
2.9574886999998853,3,1,2,auditory,success
1.897444400000495,2,2,2,auditory,success
1.2675294000000576,1,5,2,auditory,success
1.1946693999998388,1,5,2,auditory,success
1.8782440999993923,2,2,2,auditory,success
2.765349000000242,3,7,2,auditory,success
1.94803150000007,2,8,2,auditory,success
2.8019570999995267,3,3,2,auditory,success
1.294482500000413,1,5,3,auditory,success
1.938925399999789,2,2,3,auditory,success
1.7793633000001137,2,8,3,auditory,success
2.870477999999821,3,1,3,auditory,success
2.051633699999911,2,6,3,auditory,success
1.93288930000017,2,8,3,auditory,success
2.2090441000000283,2,6,3,auditory,success
2.061431800000719,2,4,3,auditory,success
2.0313912000001437,2,4,3,auditory,success
2.914733800000249,3,7,4,auditory,success
1.2368342999998276,1,5,4,auditory,success
1.8453976000000694,2,8,4,auditory,success
2.8944551999993564,3,3,4,auditory,success
2.7985208000000057,3,1,4,auditory,success
2.8548847000001842,3,9,4,auditory,success
2.8865511000003607,3,9,4,auditory,success
2.547124200000326,3,1,4,auditory,success
1.8286385999999766,2,8,4,auditory,success
2.705657699999392,3,3,5,auditory,success
2.8216483999995035,3,7,5,auditory,success
2.653138800000306,3,3,5,auditory,success
1.750722300000234,2,8,5,auditory,success
2.613942599999973,3,9,5,auditory,success
2.066441400000258,2,4,5,auditory,success
1.8638909999999669,2,8,5,auditory,success
1.7722980999997162,2,2,5,auditory,success
2.6278021000007357,3,7,5,auditory,success
time,num_instructions,location,block,condition,success
3.3884485999997196,3,3,1,auditory,success
1.0767762999994375,1,5,1,auditory,exFail
2.955764299999828,3,3,1,auditory,success
3.31968710000001,3,3,1,auditory,success
2.6315098999994007,2,6,1,auditory,success
1.8026700000000346,2,4,1,auditory,success
3.4173220000002402,3,9,1,auditory,success
3.2063350999997056,3,3,1,auditory,success
3.3381541999997353,3,9,1,auditory,success
1.2351072000001295,1,rep_5,1,auditory,success
2.0807841000005283,2,8,2,auditory,success
2.9574886999998853,3,1,2,auditory,success
1.897444400000495,2,2,2,auditory,success
1.2675294000000576,1,5,2,auditory,success
