time,num_instructions,location,block,condition,success
7.8734856999999465,3,1,1,tactile,success
2.329850399999941,1,5,1,tactile,success
4.335834500000146,2,8,1,tactile,success
6.03163880000011,3,3,1,tactile,success
5.452434799999992,3,3,1,tactile,success
4.48045060000004,3,7,1,tactile,success
3.7218669999997473,2,4,1,tactile,success
4.753913500000181,3,1,1,tactile,success
1.759160100000372,1,5,1,tactile,success
time,num_instructions,location,block,condition,success
7.8734856999999465,3,1,1,tactile,success
2.329850399999941,1,5,1,tactile,success
4.335834500000146,2,8,1,tactile,success
6.03163880000011,3,3,1,tactile,success
5.452434799999992,3,3,1,tactile,success
4.48045060000004,3,7,1,tactile,success
3.7218669999997473,2,4,1,tactile,success
4.753913500000181,3,1,1,tactile,success
1.759160100000372,1,5,1,tactile,success
2.886050300000079,2,8,2,tactile,success
3.9593989999998485,3,1,2,tactile,success
3.711027699999704,3,1,2,tactile,success
3.4443857999999636,2,2,2,tactile,success
2.831018600000334,2,4,2,tactile,success
3.7139170000000377,3,7,2,tactile,success
2.8194313999997576,2,2,2,tactile,success
3.8612162999997963,3,3,2,tactile,success
2.4824861000001874,2,4,2,tactile,success
time,num_instructions,location,block,condition,success
7.8734856999999465,3,1,1,tactile,success
2.329850399999941,1,5,1,tactile,success
4.335834500000146,2,8,1,tactile,success
6.03163880000011,3,3,1,tactile,success
5.452434799999992,3,3,1,tactile,success
4.48045060000004,3,7,1,tactile,success
3.7218669999997473,2,4,1,tactile,success
4.753913500000181,3,1,1,tactile,success
1.759160100000372,1,5,1,tactile,success
2.886050300000079,2,8,2,tactile,success
3.9593989999998485,3,1,2,tactile,success
3.711027699999704,3,1,2,tactile,success
3.4443857999999636,2,2,2,tactile,success
2.831018600000334,2,4,2,tactile,success
3.7139170000000377,3,7,2,tactile,success
2.8194313999997576,2,2,2,tactile,success
3.8612162999997963,3,3,2,tactile,success
2.4824861000001874,2,4,2,tactile,success
2.9971613000002435,2,8,3,tactile,success
1.3216529999999693,1,5,3,tactile,success
2.1742772000002333,2,8,3,tactile,success
2.1556635000001734,2,8,3,tactile,success
2.898418700000093,2,2,3,tactile,success
2.3726642000001448,2,8,3,tactile,success
2.600771700000223,2,4,3,tactile,success
3.5129440999999133,3,1,3,tactile,success
3.2052230999997846,3,1,3,tactile,success
time,num_instructions,location,block,condition,success
7.8734856999999465,3,1,1,tactile,success
2.329850399999941,1,5,1,tactile,success
4.335834500000146,2,8,1,tactile,success
6.03163880000011,3,3,1,tactile,success
5.452434799999992,3,3,1,tactile,success
4.48045060000004,3,7,1,tactile,success
3.7218669999997473,2,4,1,tactile,success
4.753913500000181,3,1,1,tactile,success
1.759160100000372,1,5,1,tactile,success
2.886050300000079,2,8,2,tactile,success
3.9593989999998485,3,1,2,tactile,success
3.711027699999704,3,1,2,tactile,success
3.4443857999999636,2,2,2,tactile,success
2.831018600000334,2,4,2,tactile,success
3.7139170000000377,3,7,2,tactile,success
2.8194313999997576,2,2,2,tactile,success
3.8612162999997963,3,3,2,tactile,success
2.4824861000001874,2,4,2,tactile,success
2.9971613000002435,2,8,3,tactile,success
1.3216529999999693,1,5,3,tactile,success
2.1742772000002333,2,8,3,tactile,success
2.1556635000001734,2,8,3,tactile,success
2.898418700000093,2,2,3,tactile,success
2.3726642000001448,2,8,3,tactile,success
2.600771700000223,2,4,3,tactile,success
3.5129440999999133,3,1,3,tactile,success
3.2052230999997846,3,1,3,tactile,success
