time,num_instructions,location,block,condition,success
5.17025139999987,3,1,1,tactile,success
6.975548899999922,3,3,1,tactile,fail
4.108671200000117,3,1,1,tactile,success
2.973104400000011,2,2,1,tactile,success
4.562180199999602,3,9,1,tactile,success
5.672761300000275,3,9,1,tactile,fail
2.297326100000191,2,4,1,tactile,success
3.4742952999999943,3,7,1,tactile,success
3.813140100000055,2,2,1,tactile,exFail
3.233297400000083,2,rep_2,1,tactile,success
time,num_instructions,location,block,condition,success
5.17025139999987,3,1,1,tactile,success
6.975548899999922,3,3,1,tactile,fail
4.108671200000117,3,1,1,tactile,success
2.973104400000011,2,2,1,tactile,success
4.562180199999602,3,9,1,tactile,success
5.672761300000275,3,9,1,tactile,fail
2.297326100000191,2,4,1,tactile,success
3.4742952999999943,3,7,1,tactile,success
3.813140100000055,2,2,1,tactile,exFail
3.233297400000083,2,rep_2,1,tactile,success
2.250503099999605,2,4,2,tactile,success
1.405310499999814,1,5,2,tactile,success
1.145807700000205,1,5,2,tactile,success
2.0395026999999573,2,6,2,tactile,success
1.7919881999996505,2,6,2,tactile,fail
2.3700807999998688,2,4,2,tactile,success
2.9474789999999302,3,7,2,tactile,success
1.097028600000158,1,5,2,tactile,success
2.74610470000016,3,9,2,tactile,success
time,num_instructions,location,block,condition,success
5.17025139999987,3,1,1,tactile,success
6.975548899999922,3,3,1,tactile,fail
4.108671200000117,3,1,1,tactile,success
2.973104400000011,2,2,1,tactile,success
4.562180199999602,3,9,1,tactile,success
5.672761300000275,3,9,1,tactile,fail
2.297326100000191,2,4,1,tactile,success
3.4742952999999943,3,7,1,tactile,success
3.813140100000055,2,2,1,tactile,exFail
3.233297400000083,2,rep_2,1,tactile,success
2.250503099999605,2,4,2,tactile,success
1.405310499999814,1,5,2,tactile,success
1.145807700000205,1,5,2,tactile,success
2.0395026999999573,2,6,2,tactile,success
1.7919881999996505,2,6,2,tactile,fail
2.3700807999998688,2,4,2,tactile,success
2.9474789999999302,3,7,2,tactile,success
1.097028600000158,1,5,2,tactile,success
2.74610470000016,3,9,2,tactile,success
2.8638961000001473,3,9,3,tactile,success
2.5944705000001704,3,9,3,tactile,success
2.5742325999999593,3,7,3,tactile,success
2.7592787000003227,3,3,3,tactile,exFail
3.413308000000143,1,2,3,tactile,fail
2.857303899999806,2,6,3,tactile,success
2.804459399999814,3,7,3,tactile,success
3.2742001000001437,3,3,3,tactile,success
2.7807293999999274,3,7,3,tactile,success
2.8180554000000484,3,rep_3,3,tactile,success
time,num_instructions,location,block,condition,success
5.17025139999987,3,1,1,tactile,success
6.975548899999922,3,3,1,tactile,fail
4.108671200000117,3,1,1,tactile,success
2.973104400000011,2,2,1,tactile,success
4.562180199999602,3,9,1,tactile,success
5.672761300000275,3,9,1,tactile,fail
2.297326100000191,2,4,1,tactile,success
3.4742952999999943,3,7,1,tactile,success
3.813140100000055,2,2,1,tactile,exFail
3.233297400000083,2,rep_2,1,tactile,success
2.250503099999605,2,4,2,tactile,success
1.405310499999814,1,5,2,tactile,success
1.145807700000205,1,5,2,tactile,success
2.0395026999999573,2,6,2,tactile,success
1.7919881999996505,2,6,2,tactile,fail
2.3700807999998688,2,4,2,tactile,success
2.9474789999999302,3,7,2,tactile,success
1.097028600000158,1,5,2,tactile,success
2.74610470000016,3,9,2,tactile,success
2.8638961000001473,3,9,3,tactile,success
2.5944705000001704,3,9,3,tactile,success
2.5742325999999593,3,7,3,tactile,success
2.7592787000003227,3,3,3,tactile,exFail
3.413308000000143,1,2,3,tactile,fail
2.857303899999806,2,6,3,tactile,success
2.804459399999814,3,7,3,tactile,success
3.2742001000001437,3,3,3,tactile,success
2.7807293999999274,3,7,3,tactile,success
2.8180554000000484,3,rep_3,3,tactile,success
3.7470235000000685,1,8,4,tactile,fail
2.3712596000000303,2,6,4,tactile,success
2.086817499999597,2,6,4,tactile,success
3.5393644999999196,3,1,4,tactile,success
2.890388499999972,3,9,4,tactile,success
4.421976799999811,2,2,4,tactile,success
2.1954289999998764,2,4,4,tactile,success
1.9892124000002696,2,8,4,tactile,success
3.017138100000011,3,9,4,tactile,success
time,num_instructions,location,block,condition,success
5.17025139999987,3,1,1,tactile,success
6.975548899999922,3,3,1,tactile,fail
4.108671200000117,3,1,1,tactile,success
2.973104400000011,2,2,1,tactile,success
4.562180199999602,3,9,1,tactile,success
5.672761300000275,3,9,1,tactile,fail
2.297326100000191,2,4,1,tactile,success
3.4742952999999943,3,7,1,tactile,success
3.813140100000055,2,2,1,tactile,exFail
3.233297400000083,2,rep_2,1,tactile,success
2.250503099999605,2,4,2,tactile,success
1.405310499999814,1,5,2,tactile,success
1.145807700000205,1,5,2,tactile,success
2.0395026999999573,2,6,2,tactile,success
1.7919881999996505,2,6,2,tactile,fail
2.3700807999998688,2,4,2,tactile,success
2.9474789999999302,3,7,2,tactile,success
1.097028600000158,1,5,2,tactile,success
2.74610470000016,3,9,2,tactile,success
2.8638961000001473,3,9,3,tactile,success
2.5944705000001704,3,9,3,tactile,success
2.5742325999999593,3,7,3,tactile,success
2.7592787000003227,3,3,3,tactile,exFail
3.413308000000143,1,2,3,tactile,fail
2.857303899999806,2,6,3,tactile,success
2.804459399999814,3,7,3,tactile,success
3.2742001000001437,3,3,3,tactile,success
2.7807293999999274,3,7,3,tactile,success
2.8180554000000484,3,rep_3,3,tactile,success
3.7470235000000685,1,8,4,tactile,fail
2.3712596000000303,2,6,4,tactile,success
