time,num_instructions,location,block,condition,success
2.5922178999999232,3,9,1,tactile,success
2.560821799999985,2,6,1,tactile,success
2.240831899999989,2,4,1,tactile,exFail
2.8522573000000193,3,3,1,tactile,success
2.555109600000037,2,8,1,tactile,success
2.189953800000012,2,8,1,tactile,success
4.735371400000076,1,2,1,tactile,fail
3.8147721000000274,3,7,1,tactile,success
1.7641538999999966,1,5,1,tactile,success
2.4734214000000065,2,rep_4,1,tactile,success
time,num_instructions,location,block,condition,success
2.5922178999999232,3,9,1,tactile,success
2.560821799999985,2,6,1,tactile,success
2.240831899999989,2,4,1,tactile,exFail
2.8522573000000193,3,3,1,tactile,success
2.555109600000037,2,8,1,tactile,success
2.189953800000012,2,8,1,tactile,success
4.735371400000076,1,2,1,tactile,fail
3.8147721000000274,3,7,1,tactile,success
1.7641538999999966,1,5,1,tactile,success
2.4734214000000065,2,rep_4,1,tactile,success
2.592691400000035,2,8,2,tactile,success
1.9631264999999303,2,4,2,tactile,success
1.9775448000000324,2,8,2,tactile,success
3.1600162999999384,3,7,2,tactile,success
3.300717299999974,3,3,2,tactile,success
1.9364199999999983,2,6,2,tactile,success
2.1823008000000073,2,8,2,tactile,success
2.267209600000001,2,2,2,tactile,success
2.0504376000000093,2,4,2,tactile,success
time,num_instructions,location,block,condition,success
2.5922178999999232,3,9,1,tactile,success
2.560821799999985,2,6,1,tactile,success
2.240831899999989,2,4,1,tactile,exFail
2.8522573000000193,3,3,1,tactile,success
2.555109600000037,2,8,1,tactile,success
2.189953800000012,2,8,1,tactile,success
4.735371400000076,1,2,1,tactile,fail
3.8147721000000274,3,7,1,tactile,success
1.7641538999999966,1,5,1,tactile,success
2.4734214000000065,2,rep_4,1,tactile,success
2.592691400000035,2,8,2,tactile,success
1.9631264999999303,2,4,2,tactile,success
1.9775448000000324,2,8,2,tactile,success
3.1600162999999384,3,7,2,tactile,success
3.300717299999974,3,3,2,tactile,success
1.9364199999999983,2,6,2,tactile,success
2.1823008000000073,2,8,2,tactile,success
2.267209600000001,2,2,2,tactile,success
2.0504376000000093,2,4,2,tactile,success
5.802198299999986,4,1,3,tactile,fail
3.4003294000000324,2,4,3,tactile,success
1.9773052000000462,2,6,3,tactile,success
2.4370933999999806,2,6,3,tactile,success
2.1158399999999347,2,8,3,tactile,success
3.2456624000000147,3,9,3,tactile,success
4.410216699999978,2,7,3,tactile,exFail
3.7223003999999946,3,1,3,tactile,success
2.35099450000007,2,4,3,tactile,success
2.7286242999999786,3,rep_7,3,tactile,success
time,num_instructions,location,block,condition,success
2.5922178999999232,3,9,1,tactile,success
2.560821799999985,2,6,1,tactile,success
2.240831899999989,2,4,1,tactile,exFail
2.8522573000000193,3,3,1,tactile,success
2.555109600000037,2,8,1,tactile,success
2.189953800000012,2,8,1,tactile,success
4.735371400000076,1,2,1,tactile,fail
3.8147721000000274,3,7,1,tactile,success
1.7641538999999966,1,5,1,tactile,success
2.4734214000000065,2,rep_4,1,tactile,success
2.592691400000035,2,8,2,tactile,success
1.9631264999999303,2,4,2,tactile,success
1.9775448000000324,2,8,2,tactile,success
3.1600162999999384,3,7,2,tactile,success
3.300717299999974,3,3,2,tactile,success
1.9364199999999983,2,6,2,tactile,success
2.1823008000000073,2,8,2,tactile,success
2.267209600000001,2,2,2,tactile,success
2.0504376000000093,2,4,2,tactile,success
5.802198299999986,4,1,3,tactile,fail
3.4003294000000324,2,4,3,tactile,success
1.9773052000000462,2,6,3,tactile,success
2.4370933999999806,2,6,3,tactile,success
2.1158399999999347,2,8,3,tactile,success
3.2456624000000147,3,9,3,tactile,success
4.410216699999978,2,7,3,tactile,exFail
3.7223003999999946,3,1,3,tactile,success
2.35099450000007,2,4,3,tactile,success
2.7286242999999786,3,rep_7,3,tactile,success
2.8546708999999737,3,9,4,tactile,success
2.900705700000003,1,8,4,tactile,fail
2.9156212999998843,2,2,4,tactile,success
1.4293674000000465,1,5,4,tactile,success
2.990027299999838,2,2,4,tactile,success
2.5752308999999514,2,2,4,tactile,success
2.1147349999998823,2,6,4,tactile,success
2.0572770999999648,2,6,4,tactile,success
3.4577984000000015,2,3,4,tactile,fail
time,num_instructions,location,block,condition,success
2.5922178999999232,3,9,1,tactile,success
2.560821799999985,2,6,1,tactile,success
2.240831899999989,2,4,1,tactile,exFail
2.8522573000000193,3,3,1,tactile,success
2.555109600000037,2,8,1,tactile,success
2.189953800000012,2,8,1,tactile,success
4.735371400000076,1,2,1,tactile,fail
3.8147721000000274,3,7,1,tactile,success
1.7641538999999966,1,5,1,tactile,success
2.4734214000000065,2,rep_4,1,tactile,success
2.592691400000035,2,8,2,tactile,success
1.9631264999999303,2,4,2,tactile,success
1.9775448000000324,2,8,2,tactile,success
3.1600162999999384,3,7,2,tactile,success
3.300717299999974,3,3,2,tactile,success
1.9364199999999983,2,6,2,tactile,success
2.1823008000000073,2,8,2,tactile,success
2.267209600000001,2,2,2,tactile,success
2.0504376000000093,2,4,2,tactile,success
5.802198299999986,4,1,3,tactile,fail
3.4003294000000324,2,4,3,tactile,success
1.9773052000000462,2,6,3,tactile,success
2.4370933999999806,2,6,3,tactile,success
2.1158399999999347,2,8,3,tactile,success
3.2456624000000147,3,9,3,tactile,success
4.410216699999978,2,7,3,tactile,exFail
3.7223003999999946,3,1,3,tactile,success
2.35099450000007,2,4,3,tactile,success
2.7286242999999786,3,rep_7,3,tactile,success
2.8546708999999737,3,9,4,tactile,success
2.900705700000003,1,8,4,tactile,fail
2.9156212999998843,2,2,4,tactile,success
1.4293674000000465,1,5,4,tactile,success
2.990027299999838,2,2,4,tactile,success
